"","OVH.PA.Open","OVH.PA.High","OVH.PA.Low","OVH.PA.Close","OVH.PA.Volume","OVH.PA.Adjusted"
"2021-10-15",18.5,20.1,17.802,19.704,3865543,19.704
"2021-10-18",21.5,22.209999,20.495001,21.889999,1085944,21.889999
"2021-10-19",22.219999,22.5,20.049999,20.705,970307,20.705
"2021-10-20",21.049999,21.799999,20.870001,21.780001,328775,21.780001
"2021-10-21",21.9,22,21.754999,21.889999,243208,21.889999
"2021-10-22",22,22.08,21.85,21.85,259024,21.85
"2021-10-25",22.014999,22.049999,21.23,21.25,118559,21.25
"2021-10-26",21.23,21.950001,21.23,21.75,126022,21.75
"2021-10-27",21.85,21.85,21.110001,21.125,141171,21.125
"2021-10-28",21.35,21.5,20.799999,20.950001,94631,20.950001
"2021-10-29",21,21,20.025,20.16,181519,20.16
"2021-11-01",20.48,21.5,20.18,21.4,98524,21.4
"2021-11-02",21.5,21.5,20.799999,21.370001,62945,21.370001
"2021-11-03",21.424999,21.65,21.315001,21.495001,95880,21.495001
"2021-11-04",21.549999,21.629999,21.01,21.135,102253,21.135
"2021-11-05",21.215,21.455,20.530001,20.809999,137768,20.809999
"2021-11-08",21,21.065001,20.725,20.885,71047,20.885
"2021-11-09",20.764999,21,20.18,20.254999,108537,20.254999
"2021-11-10",20.254999,20.75,20.254999,20.485001,68354,20.485001
"2021-11-11",20.459999,20.65,20.355,20.4,37719,20.4
"2021-11-12",20.455,20.915001,20.4,20.915001,47038,20.915001
"2021-11-15",20.450001,20.450001,20.254999,20.299999,133207,20.299999
"2021-11-16",20.299999,21.299999,20.25,21.299999,250443,21.299999
"2021-11-17",21.299999,21.4,21,21.315001,69069,21.315001
"2021-11-18",21.35,21.370001,20.98,21.35,106193,21.35
"2021-11-19",21.254999,21.33,20.85,20.9,48014,20.9
"2021-11-22",20.9,21,20.4,20.43,60632,20.43
"2021-11-23",20.299999,20.42,19.6,20,234413,20
"2021-11-24",20.299999,21.049999,20.26,20.5,138671,20.5
"2021-11-25",20.799999,20.959999,20.25,20.485001,86712,20.485001
"2021-11-26",20.1,20.6,19.875999,20.504999,203225,20.504999
"2021-11-29",20.34,20.65,20.18,20.440001,102711,20.440001
"2021-11-30",20.34,20.525,20.139999,20.315001,131570,20.315001
"2021-12-01",20.495001,20.889999,20.219999,20.77,69557,20.77
"2021-12-02",20.535,20.77,20.325001,20.75,49736,20.75
"2021-12-03",20.75,21.280001,20.549999,21.049999,130543,21.049999
"2021-12-06",21.1,21.809999,21.1,21.6,115810,21.6
"2021-12-07",21.684999,21.9,21.200001,21.4,86908,21.4
"2021-12-08",21.445,21.540001,21.27,21.34,46414,21.34
"2021-12-09",21.379999,21.6,21.25,21.465,61827,21.465
"2021-12-10",21.4,21.9,21.355,21.525,70089,21.525
"2021-12-13",21.9,22,21.639999,21.9,116843,21.9
"2021-12-14",21.950001,21.99,20.950001,20.959999,109603,20.959999
"2021-12-15",21,21.200001,20.469999,20.665001,87889,20.665001
"2021-12-16",21.1,21.535,20.865,20.969999,112370,20.969999
"2021-12-17",21.084999,21.275,20.549999,21.155001,54948,21.155001
"2021-12-20",21.16,21.65,20.635,21.57,71925,21.57
"2021-12-21",21.799999,21.975,21.41,21.735001,60815,21.735001
"2021-12-22",21.799999,23.25,21.799999,23.25,260280,23.25
"2021-12-23",23.290001,23.9,22.85,23.584999,159107,23.584999
"2021-12-24",23.799999,23.799999,23.25,23.445,24917,23.445
"2021-12-27",23.450001,23.700001,23.26,23.700001,77663,23.700001
"2021-12-28",23.700001,24.440001,23.360001,24.32,196947,24.32
"2021-12-29",24.32,25.334999,24,24.799999,281129,24.799999
"2021-12-30",24.889999,24.995001,24.41,24.48,90854,24.48
"2021-12-31",24.35,25.4,24.35,25.4,65765,25.4
"2022-01-03",25.934999,28.200001,25.635,27.594999,512928,27.594999
"2022-01-04",28.09,28.115,26.5,26.815001,373357,26.815001
"2022-01-05",26.639999,26.690001,25.42,25.91,275305,25.91
"2022-01-06",25.299999,25.809999,24.655001,25.014999,218342,25.014999
"2022-01-07",24.905001,25.195,23.73,23.955,227032,23.955
"2022-01-10",24.25,25,24.205,24.785,254656,24.785
"2022-01-11",25,25.25,24.315001,24.465,129347,24.465
"2022-01-12",25.9,26.27,25.209999,25.58,426975,25.58
"2022-01-13",25.940001,26.764999,25.254999,26.5,393790,26.5
"2022-01-14",26.105,26.700001,25.245001,25.334999,147284,25.334999
"2022-01-17",25.514999,26.165001,25.379999,25.379999,94280,25.379999
"2022-01-18",25.700001,27,25.299999,26.995001,274160,26.995001
"2022-01-19",27,27.65,26.58,27.299999,253649,27.299999
"2022-01-20",27.5,27.5,26.360001,26.405001,172320,26.405001
"2022-01-21",26.280001,26.59,25.35,25.545,225247,25.545
"2022-01-24",25.32,25.379999,23.83,23.965,378364,23.965
"2022-01-25",24.495001,25.125,24.129999,24.129999,213724,24.129999
"2022-01-26",24.325001,25.1,24.325001,24.434999,183137,24.434999
"2022-01-27",24.355,24.639999,23.594999,23.594999,261529,23.594999
"2022-01-28",23.625,23.879999,23.200001,23.525,233284,23.525
"2022-01-31",24.02,24.02,23.084999,23.700001,266033,23.700001
"2022-02-01",24.195,24.605,23.855,24.35,148958,24.35
"2022-02-02",24.605,24.77,23.575001,23.575001,164678,23.575001
"2022-02-03",23.745001,23.955,23.174999,23.315001,135904,23.315001
"2022-02-04",23.370001,23.545,22.549999,23.094999,246983,23.094999
"2022-02-07",23.4,24.219999,22.41,23.875,284006,23.875
"2022-02-08",24,24,22.764999,22.799999,179918,22.799999
"2022-02-09",22.969999,23.360001,22.67,22.950001,211607,22.950001
"2022-02-10",23.035,23.17,22.305,22.959999,220888,22.959999
"2022-02-11",22.889999,23.16,22.639999,22.834999,117390,22.834999
"2022-02-14",22.43,23.094999,21.83,23.040001,328924,23.040001
"2022-02-15",23.049999,23.875,23.035,23.674999,145639,23.674999
"2022-02-16",23.799999,23.98,22.934999,23.035,136744,23.035
"2022-02-17",23,23.299999,22.860001,22.975,93010,22.975
"2022-02-18",22.905001,23.235001,22.715,22.885,133630,22.885
"2022-02-21",23,23.004999,22.040001,22.275,120787,22.275
"2022-02-22",21.790001,22.825001,21.309999,22.535,188591,22.535
"2022-02-23",22.775,22.889999,21.93,21.93,99622,21.93
"2022-02-24",20.629999,21.725,20.4,21.620001,232919,21.620001
"2022-02-25",22.105,22.485001,21.605,22.26,130643,22.26
